"VERTICAL","Months in CALENDAR_DATE","M0#","LTV 0-360$","LTV 0-15$","LTV 0-30$","C0%","C1%","D0%","D1%","M1%","MOBILE%","PREPAID%","LOGIN RATE%","SEARCH RATE%","PDP VIEW RATE%"
"credco","20-Jan",108872.810918144,29.9588451324794,8.16825879805479,11.2747706679314,0.093565613,0.157813184,0.137345706,0.606329336,0.235857481,0.856701392,0.298284164,0.892733958,0,0
"credco","20-Feb",79250.941776272,33.957624508186,9.72787429555345,10.4742635075576,0.099383999,0.169345022,0.140930273,0.620513703,0.210141275,0.864971536,0.293258413,0.894320739,0,0
"credco","20-Mar",93347.6038803836,35.3220971366711,8.31446431911373,10.2351678544862,0.067081852,0.133065962,0.150184225,0.580934059,0.285999978,0.845066136,0.292988577,0.873237906,0,0
"credco","20-Apr",82291.2897325605,32.3461698169432,9.61603122318633,11.9839695994205,0.055546793,0.131177708,0.173094112,0.630599369,0.238222923,0.878601472,0.334016824,0.79384858,0,0
"credco","20-May",75166.729367882,36.9347109884356,10.874667266527,13.852776473525,0.050628002,0.12533777,0.204863891,0.68813801,0.186524219,0.910778623,0.360563451,0.89107536,0,0
"credco","20-Jun",114528.996522464,36.9263673442795,11.0192046054277,13.0797609892401,0.04906813,0.10917541,0.223441462,0.71235989,0.1784647,0.911573668,0.368741575,0.912327837,0,0
"credco","20-Jul",146086.08213195,29.4171007991523,9.69569288280039,13.7013622835066,0.056770154,0.117259886,0.185427304,0.714397525,0.168342589,0.923364765,0.379352242,0.92045768,0,0
"credco","20-Aug",112933.73809299,32.1005975102651,9.40244356494794,13.8066823641,0.063729836,0.12598821,0.151853037,0.692674679,0.181337111,0.915660558,0.356715258,0.936452954,0,0
"credco","20-Sep",114021.231018681,26.3477788182083,8.11203220065149,11.2276229738861,0.057867226,0.106233862,0.16632329,0.614335454,0.279430684,0.921917032,0.387850762,0.936743709,0,0
"credco","20-Oct",81736.2616797296,27.2666291603336,8.61619643138517,9.85552725000828,0.04597714,0.094744832,0.14192749,0.690114748,0.215140421,0.904920302,0.364535429,0.910534893,0,0
"credco","20-Nov",79711.6797394743,28.1739906368537,8.07092248752252,11.276549853749,0.05039437,0.096030322,0.151572758,0.700609267,0.203360412,0.887332924,0.363505408,0.91092429,0,0
"credco","20-Dec",99432.014360921,29.1600359392535,9.06568683405841,11.5446407042502,0.048810543,0.10255952,0.161199898,0.759935659,0.137504821,0.915877301,0.372837671,0.907750049,0,0
"credco","21-Jan",82102.272426038,29.0150853617886,8.34852585101333,9.83227013435391,0.03992823,0.095954108,0.160749033,0.77234591,0.131699982,0.916946754,0.382274898,0.901417705,0,0
"credco","21-Feb",57167.4572009481,26.9688839671355,8.3334053383581,12.354493332967,0.042409951,0.09556763,0.151937667,0.774229376,0.130202994,0.878477206,0.374718064,0.904295674,0,0
"credco","21-Mar",52433.8681607016,28.4412839850062,10.5453610781021,11.9258248905379,0.044684315,0.097228085,0.138153531,0.737843977,0.164927938,0.893485296,0.406621239,0.897646184,0,0
"credco","21-Apr",57615.4759424552,29.1667795048071,9.47351383772774,10.8225516116832,0.052947504,0.103847889,0.145189272,0.745532771,0.15061934,0.921237986,0.420145033,0.899465667,0,0
"credco","21-May",68819.3446003061,29.3146671099595,7.86972575406446,11.9117958438341,0.049083383,0.098636825,0.152178198,0.756114573,0.145248601,0.924244492,0.397458642,0.907185856,0,0
"credco","21-Jun",62582.4667130313,24.643105964518,8.3143319191854,10.4822159752273,0.046422241,0.096688137,0.168752304,0.764378609,0.138933254,0.925390947,0.390210085,0.904487776,0,0
"credco","21-Jul",47068.9153126801,25.5037342696748,8.61792930729454,11.3642914898322,0.041989798,0.093352134,0.157591341,0.771990213,0.134657654,0.91840501,0.363621283,0.907394352,0,0
"credco","21-Aug",48111.3016156398,23.4542760863764,7.74665291531907,10.9823706578293,0.039160195,0.086525383,0.143126673,0.775262165,0.138212452,0.915054188,0.350445351,0.904962485,0,0
"credco","21-Sep",50352.5439661963,25.0507883840874,7.22330397003324,10.5110504883348,0.042504047,0.099298435,0.1258068,0.766389638,0.134311927,0.912552617,0.33422558,0.906443605,0,0
"credco","21-Oct",47542.6907542293,23.7294586861071,6.90483151563638,11.0668790398007,0.054235138,0.108688326,0.126092731,0.74327512,0.148036553,0.90602018,0.32436022,0.908577319,0,0
"credco","21-Nov",54920.9636854883,26.7701851330198,7.42135024748602,10.4974189996401,0.055511781,0.106933814,0.103613237,0.742777278,0.150288909,0.911301216,0.316505328,0.920324929,0,0
"credco","21-Dec",55056.1320851892,23.0622649465354,7.65274239690081,10.3600840439383,0.046225195,0.101238385,0.093357754,0.755902072,0.142859543,0.914842135,0.314788366,0.905432427,0,0
"credco","22-Jan",57763.4593988378,24.6397512024719,7.42101731579326,10.4348900823255,0.048610194,0.112603988,0.10076918,0.740228443,0.147167569,0.907731414,0.31810379,0.905866235,0,0
"credco","22-Feb",52473.933685464,25.034271677785,8.69766905037301,11.3346271127625,0.049853809,0.109745423,0.11929903,0.735907034,0.154347543,0.907704341,0.31094847,0.900906941,0,0
"credco","22-Mar",54397.1856513643,21.9239354864757,7.949274913396,9.83874432337151,0.047442833,0.102618566,0.093657695,0.748199529,0.149181906,0.912963393,0.319803525,0.897464405,0,0
"credco","22-Apr",55202.2311978165,22.3273058538158,8.50594711927594,10.4302187262085,0.049087243,0.1051263,0.123859053,0.760878794,0.133994906,0.912049813,0.310089861,0.868269299,0,0
"credco","22-May",56461.2253045816,25.7016706311651,7.99254103508587,9.88698968619132,0.045611899,0.110758169,0.14229467,0.75777,0.13147183,0.897287633,0.27774185,0.906512725,0,0
"credco","22-Jun",60134.5597952491,22.8000138768306,7.73088805936419,9.40224416671099,0.044141795,0.109871535,0.146575872,0.744180431,0.145948034,0.889114266,0.279291027,0.900415339,0,0
"credco","22-Jul",56622.3369283514,21.9811404774225,6.50231077041234,8.82186608117569,0.045331362,0.108031535,0.15682962,0.743268926,0.148699539,0.900274522,0.282300356,0.905782564,0,0
"credco","22-Aug",57316.0601382827,23.6003485862474,6.48426173643339,8.43874308443281,0.044201648,0.108973789,0.144206986,0.744203427,0.146822784,0.889495881,0.27622471,0.927291492,0,0
"credco","22-Sep",68852.9449581127,25.5759793464845,6.01518572163875,9.35989604427262,0.042949146,0.103623336,0.121696499,0.754924429,0.141452235,0.89486815,0.27774071,0.932624525,0,0
"credco","22-Oct",66128.1538170315,26.9623986730459,6.54601508544002,9.24067035564067,0.045169794,0.107120585,0.118218153,0.750779523,0.142099892,0.897698282,0.268084925,0.932082318,0,0
"rto","20-Jan",44453.7339197842,45.0583818330521,11.9145854352192,16.4170530092363,0.052753943,0.184746656,0.112842146,0.664877043,0.1503763,0.874406788,0.364627774,0.833205503,0.626456066,0.662576099
"rto","20-Feb",41288.8133847235,50.1004051283229,13.89181924664,20.2802591965759,0.055228701,0.185689608,0.104373733,0.634053526,0.180256866,0.86423153,0.368174649,0.837818892,0.650201537,0.683298701
"rto","20-Mar",39909.0389181287,55.3049728908217,16.1255732405637,18.3177566572239,0.054575363,0.193467937,0.105383248,0.60810273,0.198429333,0.861452336,0.348730466,0.83762702,0.652861426,0.685362553
"rto","20-Apr",44368.967584949,48.8571780413063,15.349835358401,20.4847746449399,0.059675141,0.209558824,0.095338983,0.561232968,0.229208209,0.847374543,0.353148887,0.845920572,0.675162014,0.706193918
"rto","20-May",86484.8031648312,51.2679121619462,16.9265495643601,19.241215173239,0.047559223,0.181998285,0.095710368,0.594641282,0.223360433,0.871927133,0.385124606,0.81151472,0.600681316,0.638455684
"rto","20-Jun",89071.8553109009,44.5750480175373,15.0038583482506,17.5156586185348,0.054763401,0.182353525,0.090040913,0.602463581,0.215182894,0.875729205,0.390622071,0.803950111,0.575798679,0.613601526
"rto","20-Jul",104391.645344259,52.7328333707965,15.4083404366643,21.1254242812028,0.052999643,0.182486365,0.093460421,0.598450482,0.219063153,0.886059432,0.402721851,0.798093685,0.551873184,0.593067944
"rto","20-Aug",103369.439284524,43.0863321333121,15.6493607214673,17.5782570998841,0.052312381,0.177531469,0.106287843,0.631363528,0.191105003,0.887079748,0.41922602,0.783540472,0.514828314,0.563744822
"rto","20-Sep",98086.0994243228,40.2405906796029,13.6444512651227,18.1047108549138,0.050822445,0.175637974,0.123221268,0.634171038,0.190190988,0.888250945,0.429847145,0.776081781,0.498098736,0.546799091
"rto","20-Oct",76667.6987420093,41.2144861880864,13.9863699718568,15.9093724669143,0.047137603,0.167222493,0.139725558,0.643027563,0.189749944,0.881641907,0.420402568,0.771733256,0.514598685,0.553787749
"rto","20-Nov",62639.1217078662,50.4469927027475,13.7262382298792,18.7717697624972,0.041079831,0.143827587,0.152885063,0.674765935,0.181406478,0.88464565,0.419406125,0.775442034,0.525959948,0.562639516
"rto","20-Dec",72483.2220565796,46.8737636447131,12.2345122657925,14.904299653693,0.036910009,0.123865262,0.161344464,0.687950612,0.188184127,0.898172743,0.431623807,0.748474853,0.473277095,0.513937943
"rto","21-Jan",71400.7830288389,50.1252572641381,12.9134666811241,18.7380211204084,0.036490339,0.144783022,0.151992398,0.66665822,0.188558758,0.876832436,0.406385809,0.780563826,0.541298701,0.577370922
"rto","21-Feb",63677.6860060648,47.2137320539926,13.0544098501818,19.4558150249343,0.042536228,0.152355047,0.150760525,0.657302756,0.190342197,0.866857384,0.412152762,0.785802498,0.557863965,0.592005503
"rto","21-Mar",77210.1144533129,49.8911993931298,15.8582980986794,20.4421833498789,0.046813586,0.171220623,0.143530943,0.596419181,0.232360196,0.847591554,0.409246158,0.813138706,0.608956114,0.63942425
"rto","21-Apr",76795.3069888214,50.6290603469733,16.445217353682,18.6056939577126,0.046886199,0.158185138,0.137277706,0.63444452,0.207370343,0.857407533,0.420975049,0.794076679,0.563756846,0.602231388
"rto","21-May",66111.7482972797,41.758327432052,14.0995196442145,17.5683940574142,0.048412113,0.163170655,0.134198678,0.636404704,0.200424641,0.853348191,0.40246051,0.800012047,0.571729735,0.60899878
"rto","21-Jun",59831.0977614485,42.0545569597321,13.7648837553774,18.7823380763175,0.050286738,0.1659319,0.137222222,0.634480287,0.199587814,0.849301075,0.390555556,0.80734767,0.575286738,0.614551971
"rto","21-Jul",47019.5730355671,45.9557366205486,15.2056918692111,18.6303182811412,0.061627003,0.185406121,0.134491378,0.625511983,0.189081896,0.842571783,0.376168372,0.810477011,0.584910416,0.623453549
"rto","21-Aug",44906.6593487366,47.3783383738957,15.1471705777389,18.1377787122135,0.048243946,0.164722539,0.14790161,0.648345379,0.186932082,0.832952961,0.371391742,0.810278517,0.592219264,0.631587845
"rto","21-Sep",38830.6609129246,42.3190095946364,14.3543211435278,18.2351350332503,0.040303216,0.158387871,0.120391732,0.657069542,0.184542587,0.85592542,0.371486417,0.815174914,0.610151137,0.643391873
"rto","21-Oct",34588.90541773,47.3555457719858,15.3640256285142,17.2258594465068,0.04239249,0.15680434,0.12100742,0.657854844,0.185340815,0.867370549,0.360841467,0.827584373,0.598574506,0.642243557
"rto","21-Nov",32600.3799315786,45.917078188345,13.725913685791,16.2336097629225,0.043316393,0.139433873,0.087755584,0.675629358,0.184936769,0.867155183,0.363432218,0.818993027,0.559271954,0.613136745
"rto","21-Dec",35434.5690787022,44.946105175884,12.6967748429769,15.1102800527691,0.044358836,0.143415574,0.083222389,0.678554231,0.178030196,0.864515764,0.365521344,0.812990397,0.530379854,0.579639124
"rto","22-Jan",42009.4297129025,44.0240362724784,12.5616072207756,17.8844215011942,0.049617852,0.162271755,0.082671844,0.654763953,0.182964292,0.849057531,0.346710575,0.836081689,0.581406208,0.632474012
"rto","22-Feb",37869.9340186831,45.9607969367622,14.0029318552066,18.6244185208488,0.043794864,0.147166291,0.083728524,0.650003887,0.202829822,0.857472337,0.355593563,0.843737853,0.608385809,0.656404675
"rto","22-Mar",54932.0300297544,44.2288241788384,15.1662439904007,17.0351698149221,0.052934453,0.161365338,0.077430925,0.633695952,0.20493871,0.870009066,0.361455993,0.824701431,0.55399866,0.610066612
"rto","22-Apr",40741.7937857628,45.663058204992,13.2520519080018,15.6830928464507,0.055205196,0.171027861,0.079607492,0.629541604,0.199430535,0.850950678,0.338525979,0.827607304,0.561676393,0.61457549
"rto","22-May",33148.3789406105,45.4684014673648,15.4256262862851,18.3430347553832,0.046197116,0.164861469,0.092872958,0.636437077,0.198701454,0.831787445,0.321046018,0.82921429,0.591317097,0.636526839
"rto","22-Jun",33070.0097133349,39.7902382267903,12.2402897125309,17.1981125137487,0.056141684,0.181810211,0.228424467,0.636379577,0.181810211,0.810854254,0.313616039,0.797702896,0.561095362,0.606248356
"rto","22-Jul",30438.5539381064,43.4008850395035,13.5782685645005,14.7237978628715,0.04115477,0.150607507,0.130707009,0.677699936,0.171692558,0.840220665,0.324059972,0.816901885,0.574609944,0.614174028
"rto","22-Aug",29161.8848490163,40.3064280563207,11.9234366544197,15.5352171297286,0.042062327,0.153728178,0.117996411,0.686147822,0.160124001,0.83821178,0.320900636,0.820199054,0.577777778,0.61807799
"rto","22-Sep",27546.290858709,39.5173026117086,12.8513701393529,13.8398746182468,0.042472438,0.150478945,0.091415145,0.692246521,0.157274535,0.840520513,0.316934755,0.829604193,0.585143683,0.62851979
"rto","22-Oct",29171.1480668418,40.4403248843035,12.2945458844165,15.056953844801,0.041883304,0.153740612,0.089002022,0.690532929,0.155726459,0.844056904,0.318926921,0.822212594,0.590626805,0.622580878
